Simulation_Setup,Mean_Detection,Mean_Costs,Mean_Runs
Contact_Testing_Contact_Lower_Percentile_0_Additional_Contacts_None,68.78947368421052,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_25_Additional_Contacts_None,53.04347826086956,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_50_Additional_Contacts_None,53.15,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_75_Additional_Contacts_None,56.65,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_0_Additional_Contacts_None,53.81818181818182,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_25_Additional_Contacts_None,61.666666666666664,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_50_Additional_Contacts_None,56.333333333333336,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_75_Additional_Contacts_None,55.25,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_0_Additional_Contacts_None,49.666666666666664,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_25_Additional_Contacts_None,51.333333333333336,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_50_Additional_Contacts_None,48.05555555555556,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_75_Additional_Contacts_None,50.0,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_0_Additional_Contacts_None,46.18181818181818,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_25_Additional_Contacts_None,47.13636363636363,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_50_Additional_Contacts_None,43.30434782608695,175500.0,75.0
Contact_Testing_Contact_Lower_Percentile_75_Additional_Contacts_None,43.0,175500.0,75.0
Age_Testing_Age_Lower_Age_0,63.63157894736842,175500.0,75.0
Age_Testing_Age_Lower_Age_25,47.05263157894737,175500.0,75.0
Age_Testing_Age_Lower_Age_50,63.0,175500.0,75.0
Age_Testing_Age_Lower_Age_75,58.55555555555556,175500.0,75.0
Severity_Testing_Severity_Symp_Prob_0,61.9,175500.0,75.0
Severity_Testing_Severity_Symp_Prob_0.25,64.0,175500.0,75.0
Severity_Testing_Severity_Symp_Prob_0.5,60.888888888888886,175500.0,75.0
Severity_Testing_Severity_Symp_Prob_0.75,57.0,175500.0,75.0
