Day,Mean_Infections
100,4.0
100,4.0
100,4.04
100,4.2
100,4.88
100,5.5
100,6.38
100,7.28
100,8.12
100,9.1
100,10.2
100,11.4
100,12.74
100,14.02
100,15.08
100,16.84
100,18.12
100,20.1
100,22.26
100,24.54
100,26.9
100,29.22
100,32.14
100,35.36
100,38.06
100,41.06
100,43.76
100,48.38
100,52.52
100,56.62
100,61.02
100,66.12
100,72.08
100,78.06
100,84.24
100,90.86
100,98.66
100,107.62
100,116.82
100,126.2
100,136.58
100,147.64
100,160.18
100,172.26
100,186.4
100,202.16
100,218.3
100,234.9
100,251.96
100,272.36
100,293.16
100,314.44
100,337.72
100,363.76
100,389.5
100,416.5
100,445.54
100,474.54
100,504.94
100,536.4
100,571.62
100,609.26
100,648.22
100,688.72
100,732.94
100,776.14
100,821.18
100,866.88
100,913.46
100,961.42
100,1010.66
100,1062.66
100,1114.42
100,1166.22
100,1219.88
100,1275.02
100,1330.3
100,1387.1
100,1441.72
100,1496.42
100,1553.36
100,1610.72
100,1668.0
100,1725.88
100,1783.04
100,1840.86
100,1897.8
100,1956.82
100,2012.9
100,2070.5
100,2126.42
100,2181.74
100,2237.24
100,2291.7
100,2345.6
100,2397.0
100,2448.56
100,2498.66
100,2548.72
100,2598.64
100,2646.82
