Day,Mean_Infections
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.0
100,4.1
100,4.22
100,4.48
100,4.96
100,5.62
100,6.0
100,6.34
100,6.68
100,6.92
100,6.98
100,7.04
100,7.1
100,7.12
100,7.22
100,7.38
100,7.38
100,7.4
100,7.42
100,7.42
100,7.48
100,7.5
100,7.54
100,7.66
100,7.76
100,7.88
100,8.12
100,8.3
100,8.48
100,8.68
100,8.92
100,9.02
100,9.16
100,9.3
100,9.48
100,9.66
100,9.82
100,9.88
100,9.92
100,9.94
100,9.98
100,10.08
100,10.08
100,10.16
100,10.24
100,10.36
100,10.42
100,10.6
100,10.76
100,10.82
100,10.94
100,11.12
100,11.32
100,11.46
100,11.68
100,11.84
100,12.1
100,12.42
100,12.56
100,12.62
100,12.78
100,12.8
100,12.8
100,12.9
100,12.96
100,13.0
100,13.06
100,13.2
100,13.26
100,13.34
100,13.5
100,13.54
100,13.8
100,13.86
100,14.02
100,14.14
100,14.22
100,14.44
100,14.5
100,14.62
100,14.74
100,14.92
100,15.06
100,15.18
