Day,Mean_Infections
100,4.0
100,4.01
100,4.02
100,4.18
100,4.85
100,5.48
100,6.44
100,7.29
100,8.12
100,9.12
100,10.4
100,11.45
100,12.6
100,13.77
100,15.16
100,16.74
100,18.15
100,19.82
100,21.51
100,23.75
100,25.99
100,28.4
100,30.95
100,33.35
100,35.97
100,39.65
100,43.36
100,47.3
100,51.19
100,55.52
100,60.17
100,65.35
100,70.86
100,77.12
100,83.56
100,90.23
100,97.44
100,105.16
100,114.36
100,123.89
100,134.24
100,144.65
100,155.71
100,167.74
100,180.65
100,194.28
100,208.64
100,224.81
100,241.28
100,259.72
100,278.21
100,298.56
100,320.39
100,343.17
100,366.82
100,390.41
100,416.45
100,443.48
100,471.12
100,500.97
100,532.14
100,563.58
100,598.14
100,631.85
100,667.78
100,705.78
100,744.75
100,783.13
100,824.76
100,866.81
100,909.51
100,954.34
100,998.99
100,1044.21
100,1091.3
100,1138.78
100,1187.65
100,1235.69
100,1283.8
100,1333.69
100,1383.69
100,1435.44
100,1487.29
100,1537.36
100,1588.32
100,1638.73
100,1689.44
100,1740.47
100,1791.08
100,1841.36
100,1891.79
100,1941.75
100,1991.02
100,2040.74
100,2089.24
100,2135.99
100,2182.8
100,2228.05
100,2273.56
100,2318.4
100,2361.72
