Day,Mean_Infections
100,4.0
100,4.0
100,4.02
100,4.3
100,4.73
100,5.36
100,6.22
100,7.26
100,8.17
100,9.36
100,10.44
100,11.73
100,13.05
100,14.29
100,15.78
100,17.26
100,19.24
100,21.03
100,22.87
100,25.11
100,27.52
100,29.9
100,32.48
100,35.65
100,38.7
100,41.91
100,45.27
100,49.31
100,53.7
100,58.35
100,63.27
100,68.6
100,74.38
100,80.63
100,87.0
100,94.07
100,101.64
100,109.7
100,118.87
100,127.96
100,137.67
100,148.3
100,159.78
100,172.27
100,184.63
100,199.1
100,213.82
100,229.84
100,245.9
100,263.68
100,283.44
100,303.82
100,325.9
100,349.09
100,373.12
100,399.19
100,425.96
100,454.24
100,483.53
100,514.7
100,546.6
100,580.65
100,615.41
100,652.41
100,690.09
100,730.35
100,772.34
100,813.96
100,858.74
100,903.23
100,951.15
100,999.25
100,1047.42
100,1098.88
100,1149.4
100,1202.32
100,1256.54
100,1310.45
100,1366.65
100,1423.04
100,1481.07
100,1537.34
100,1595.35
100,1653.13
100,1709.86
100,1767.02
100,1825.62
100,1883.68
100,1940.54
100,1998.32
100,2054.69
100,2110.3
100,2166.72
100,2222.25
100,2277.77
100,2329.96
100,2383.15
100,2435.75
100,2487.08
100,2536.78
100,2585.32
