Simulation_Setup,Mean_Detection,Mean_Costs,Mean_Runs,Mean_Infections_at_Detection
syndromic_synd_0.025,52.69620253164557,621195.0,414.13,391.8607594936709
syndromic_synd_0.025,65.5,547980.0,365.32,742.4722222222222
syndromic_synd_0.025,69.67532467532467,577335.0,384.89,948.4545454545455
syndromic_synd_0.075,47.56962025316456,1784595.0,1189.73,245.29113924050634
syndromic_synd_0.075,59.390243902439025,1829745.0,1219.83,473.0121951219512
syndromic_synd_0.075,63.09756097560975,1891215.0,1260.81,639.8536585365854
syndromic_synd_0.125,46.707317073170735,3192810.0,2128.54,225.79268292682926
syndromic_synd_0.125,57.2,3049365.0,2032.91,418.75
syndromic_synd_0.125,59.608108108108105,2944755.0,1963.17,544.9864864864865
syndromic_synd_0.175,44.792682926829265,4468335.0,2978.89,191.52439024390245
syndromic_synd_0.175,57.407407407407405,4172895.0,2781.93,390.6666666666667
syndromic_synd_0.175,61.18072289156626,4324155.0,2882.77,504.06024096385545
